epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0963,1.12559,2.85227,1.12554,0.01196,0.85915,0.12001,0.07984,1.12357,3.01213,0.99736,4e-05,4e-05,4e-05
2,20.9599,0.9135,2.84715,1.04823,0.01333,0.95775,0.36807,0.2804,0.76405,2.89909,0.88422,9.901e-05,9.901e-05,9.901e-05
3,29.7414,0.82012,2.72061,1.03025,0.01382,0.99296,0.72951,0.577,0.68904,2.77041,0.85171,0.000156832,0.000156832,0.000156832
4,39.178,1.05926,2.40155,1.12342,0.01382,0.99296,0.75823,0.55211,0.85364,2.69305,0.85834,0.000213466,0.000213466,0.000213466
5,48.0078,0.82108,2.10396,0.95652,0.01382,0.99296,0.81848,0.56057,0.98104,2.62842,0.89313,0.000268912,0.000268912,0.000268912
6,56.1216,0.95459,1.81048,1.10594,0.01382,0.99296,0.86322,0.64785,0.85418,2.53703,0.86236,0.00032317,0.00032317,0.00032317
7,64.3472,0.72525,1.56818,0.90428,0.02578,0.99296,0.86791,0.68941,0.74544,2.49291,0.82864,0.00037624,0.00037624,0.00037624
8,72.4283,0.76381,1.44923,0.94054,0.97082,0.46854,0.85064,0.66644,0.75105,2.47822,0.83662,0.000428122,0.000428122,0.000428122
9,80.6574,0.886,1.20717,1.03777,1,0.32534,0.80248,0.61506,0.80114,2.44037,0.84755,0.000478816,0.000478816,0.000478816
10,88.8747,0.81428,1.08654,0.9773,1,0.38858,0.7949,0.61601,0.84326,2.3935,0.8575,0.000528322,0.000528322,0.000528322
11,97.6005,0.90959,1.08267,1.05757,0.94726,0.4507,0.76919,0.62473,0.7492,2.33523,0.86596,0.00057664,0.00057664,0.00057664
12,105.909,0.79275,0.93586,1.01467,0.97157,0.4814,0.80406,0.64591,0.7198,2.3304,0.86877,0.00062377,0.00062377,0.00062377
13,114.627,0.78574,0.96355,0.99204,1,0.48781,0.80292,0.62306,0.79355,2.31024,0.88901,0.000669712,0.000669712,0.000669712
14,123.78,0.98253,1.3867,1.17431,0.98556,0.5,0.80375,0.64671,0.78462,2.28209,0.87571,0.000714466,0.000714466,0.000714466
15,132.753,0.90695,1.05519,1.02928,0.78792,0.41863,0.66671,0.52407,0.81437,2.3548,0.89683,0.000758032,0.000758032,0.000758032
16,141.732,0.78216,0.83078,0.98087,0.92737,0.53951,0.83472,0.68036,0.82208,2.19398,0.90151,0.00080041,0.00080041,0.00080041
17,150.711,0.78601,0.91605,0.95262,0.92679,0.8023,0.94381,0.71071,0.88994,1.8197,0.92436,0.0008416,0.0008416,0.0008416
18,159.658,0.79057,1.25455,0.9495,0.95277,0.8662,0.96703,0.7534,0.83751,1.72819,0.9058,0.000881602,0.000881602,0.000881602
19,168.439,0.87379,0.85477,0.95659,0.95254,0.8481,0.9545,0.75776,0.84071,1.73628,0.90408,0.000920416,0.000920416,0.000920416
20,177.467,0.78815,0.8241,0.96123,0.91754,0.85211,0.94485,0.75825,0.81578,1.70651,0.90658,0.000958042,0.000958042,0.000958042
21,186.809,0.68775,0.78233,0.9491,0.90378,0.85995,0.94811,0.75248,0.83605,1.63472,0.92966,0.00099448,0.00099448,0.00099448
22,195.691,0.9029,0.85316,1.13482,0.94256,0.92445,0.97527,0.78222,0.80398,1.55616,0.90083,0.00102973,0.00102973,0.00102973
23,204.237,0.85397,0.97984,1.01659,0.95756,0.95341,0.98112,0.75924,0.88541,1.5499,0.92772,0.00106379,0.00106379,0.00106379
24,212.943,0.82225,0.80371,0.96522,0.96438,0.95325,0.9809,0.731,1.02993,1.54313,1.00322,0.00109667,0.00109667,0.00109667
25,221.883,0.76873,0.99764,0.98436,0.97855,0.96371,0.98979,0.76677,0.94754,1.45691,0.96496,0.00112835,0.00112835,0.00112835
26,230.484,0.77321,0.80082,0.95539,0.97438,0.95775,0.99054,0.78798,0.81492,1.38629,0.9057,0.00115885,0.00115885,0.00115885
27,239.515,0.77679,0.78374,0.93851,0.99147,0.94366,0.99143,0.77682,0.86563,1.30255,0.917,0.00118816,0.00118816,0.00118816
28,248.787,0.77283,0.81675,0.95526,0.99925,0.9507,0.99179,0.77336,0.81317,1.19847,0.90653,0.00121628,0.00121628,0.00121628
29,257.743,0.67928,0.72125,0.92323,0.99925,0.9507,0.99179,0.77336,0.81317,1.19847,0.90653,0.00124322,0.00124322,0.00124322
30,267.039,0.83592,0.91336,1.0492,0.99523,0.9507,0.99376,0.82197,0.69615,1.14076,0.86152,0.00126896,0.00126896,0.00126896
31,276.386,0.75036,0.77944,0.98719,0.97123,0.95087,0.99139,0.77941,0.8812,1.2154,0.91892,0.00129352,0.00129352,0.00129352
32,285.313,0.69168,0.70192,0.91566,0.97064,0.93125,0.98627,0.71814,1.1256,1.24721,1.04804,0.00131689,0.00131689,0.00131689
33,294.185,0.83221,0.7882,0.99957,0.97064,0.93125,0.98627,0.71814,1.1256,1.24721,1.04804,0.00133907,0.00133907,0.00133907
34,302.945,1.13288,1.13677,1.26429,0.96851,0.94366,0.98526,0.76357,0.93904,1.16798,0.97119,0.0013466,0.0013466,0.0013466
35,311.937,0.73095,0.72137,0.94672,0.9859,0.98514,0.99357,0.82636,0.73621,1.02719,0.87245,0.0013268,0.0013268,0.0013268
36,320.88,0.90692,0.84815,1.00101,0.97551,0.99296,0.99027,0.81311,0.75958,0.96724,0.88398,0.001307,0.001307,0.001307
37,329.947,0.77443,0.73844,0.92562,0.97551,0.99296,0.99027,0.81311,0.75958,0.96724,0.88398,0.0012872,0.0012872,0.0012872
38,339.032,0.91335,0.81174,1.07264,0.96278,0.97887,0.98681,0.77793,0.88783,0.99478,0.94327,0.0012674,0.0012674,0.0012674
39,347.817,0.70215,0.69629,0.94511,0.97106,0.97887,0.99055,0.79796,0.82538,0.97508,0.92993,0.0012476,0.0012476,0.0012476
40,356.004,0.67655,0.76879,0.96599,0.97915,0.99235,0.99212,0.84433,0.64963,0.86662,0.86572,0.0012278,0.0012278,0.0012278
41,364.084,0.67575,0.69711,0.95462,0.97915,0.99235,0.99212,0.84433,0.64963,0.86662,0.86572,0.001208,0.001208,0.001208
42,372.21,0.75353,0.73025,0.97036,0.979,0.9849,0.99264,0.86761,0.5734,0.80953,0.83404,0.0011882,0.0011882,0.0011882
43,380.334,0.67138,0.68442,0.93538,0.9921,0.99296,0.99486,0.85303,0.62418,0.76979,0.84741,0.0011684,0.0011684,0.0011684
44,388.567,0.68793,0.69377,0.94394,0.99718,0.98592,0.99301,0.82695,0.71215,0.74864,0.88612,0.0011486,0.0011486,0.0011486
45,397.153,0.69928,0.68327,0.93835,0.99718,0.98592,0.99301,0.82695,0.71215,0.74864,0.88612,0.0011288,0.0011288,0.0011288
46,406.04,0.67145,0.67877,0.95441,1,0.98585,0.9927,0.83849,0.7302,0.73512,0.88925,0.001109,0.001109,0.001109
47,415.154,0.7164,0.71748,0.92667,0.99176,0.98592,0.99459,0.85246,0.70114,0.74502,0.87846,0.0010892,0.0010892,0.0010892
48,424.191,0.76271,0.79034,0.98937,0.99295,0.9912,0.99451,0.86337,0.64281,0.73374,0.85828,0.0010694,0.0010694,0.0010694
49,433.214,0.66253,0.69053,0.96839,0.99295,0.9912,0.99451,0.86337,0.64281,0.73374,0.85828,0.0010496,0.0010496,0.0010496
50,442.385,0.69276,0.66895,0.92918,0.99254,0.99296,0.99437,0.86054,0.65815,0.76542,0.86088,0.0010298,0.0010298,0.0010298
51,451.169,0.86898,0.86911,1.15594,0.99151,0.99296,0.99444,0.85206,0.65859,0.72064,0.85527,0.00101,0.00101,0.00101
52,460.213,0.83233,0.88386,1.11386,0.9915,0.99296,0.99451,0.87168,0.58814,0.69389,0.83379,0.0009902,0.0009902,0.0009902
53,469.237,0.65406,0.63589,0.93658,0.9915,0.99296,0.99451,0.87168,0.58814,0.69389,0.83379,0.0009704,0.0009704,0.0009704
54,478.631,0.63201,0.71939,0.91343,0.99153,0.99296,0.99465,0.88795,0.54697,0.64485,0.82606,0.0009506,0.0009506,0.0009506
55,487.499,0.61164,0.61497,0.89736,0.98591,0.98569,0.99402,0.87654,0.59432,0.62643,0.84297,0.0009308,0.0009308,0.0009308
56,496.425,0.77127,0.79419,1.03171,0.98454,0.98592,0.99244,0.87597,0.58427,0.59566,0.84456,0.000911,0.000911,0.000911
57,505.537,0.61018,0.62895,0.93466,0.98454,0.98592,0.99244,0.87597,0.58427,0.59566,0.84456,0.0008912,0.0008912,0.0008912
58,514.552,0.60911,0.62009,0.92564,0.986,0.99201,0.99386,0.88811,0.51727,0.59592,0.83221,0.0008714,0.0008714,0.0008714
59,523.635,0.56564,0.61056,0.90802,0.99294,0.99109,0.99486,0.89109,0.504,0.59426,0.83048,0.0008516,0.0008516,0.0008516
60,532.86,0.61734,0.60337,0.91441,0.99295,0.99142,0.99486,0.89995,0.51973,0.59801,0.82618,0.0008318,0.0008318,0.0008318
61,541.77,0.62132,0.6404,0.91915,0.99295,0.99142,0.99486,0.89995,0.51973,0.59801,0.82618,0.000812,0.000812,0.000812
62,550.782,0.55865,0.57645,0.89521,0.99246,0.99296,0.99493,0.89396,0.52113,0.58202,0.82821,0.0007922,0.0007922,0.0007922
63,559.956,0.66562,0.61568,0.9631,0.99946,0.99296,0.995,0.88796,0.52021,0.56739,0.83052,0.0007724,0.0007724,0.0007724
64,569.03,0.56809,0.59252,0.91492,0.9994,0.99296,0.995,0.89077,0.4889,0.55576,0.82206,0.0007526,0.0007526,0.0007526
65,578.024,0.68353,0.8059,1.03564,0.9994,0.99296,0.995,0.89077,0.4889,0.55576,0.82206,0.0007328,0.0007328,0.0007328
66,587.245,0.56537,0.62939,0.92627,1,0.99224,0.995,0.89724,0.4735,0.54647,0.81243,0.000713,0.000713,0.000713
67,596.43,0.65042,0.6253,0.92831,0.99964,0.99296,0.995,0.89299,0.4741,0.55686,0.81082,0.0006932,0.0006932,0.0006932
68,605.892,0.57079,0.63555,0.88882,0.99996,0.99296,0.995,0.89135,0.52668,0.55636,0.82077,0.0006734,0.0006734,0.0006734
69,614.79,0.69612,0.57823,0.98758,0.99996,0.99296,0.995,0.89135,0.52668,0.55636,0.82077,0.0006536,0.0006536,0.0006536
70,623.602,0.58169,0.54002,0.90841,1,0.99274,0.995,0.89089,0.55014,0.56131,0.82928,0.0006338,0.0006338,0.0006338
71,633.837,0.50395,0.54985,0.84663,0.99915,0.99296,0.995,0.90105,0.51301,0.54731,0.82114,0.000614,0.000614,0.000614
72,642.957,0.56552,0.54387,0.88853,0.99969,0.99296,0.995,0.90776,0.4647,0.52191,0.80836,0.0005942,0.0005942,0.0005942
73,652.05,0.58681,0.60493,0.92511,0.99969,0.99296,0.995,0.90776,0.4647,0.52191,0.80836,0.0005744,0.0005744,0.0005744
74,661.466,0.59211,0.56648,0.92141,0.99967,0.99296,0.995,0.90795,0.44826,0.51002,0.80713,0.0005546,0.0005546,0.0005546
75,670.824,0.66118,0.6068,1.04166,0.99998,0.99296,0.995,0.91048,0.42459,0.49166,0.80357,0.0005348,0.0005348,0.0005348
76,680.374,0.52546,0.5404,0.89322,0.99917,0.99296,0.995,0.90515,0.44282,0.49125,0.80682,0.000515,0.000515,0.000515
77,688.992,0.56536,0.56151,0.91889,0.99917,0.99296,0.995,0.90515,0.44282,0.49125,0.80682,0.0004952,0.0004952,0.0004952
78,697.605,0.55155,0.56294,0.89957,0.99902,0.99296,0.995,0.90216,0.48696,0.51012,0.81415,0.0004754,0.0004754,0.0004754
79,706.403,0.57154,0.58492,0.88553,1,0.99201,0.995,0.90108,0.51999,0.50713,0.8209,0.0004556,0.0004556,0.0004556
80,715.154,0.51971,0.50554,0.88965,0.99296,0.9926,0.99472,0.90751,0.49817,0.50009,0.81633,0.0004358,0.0004358,0.0004358
81,723.75,0.49209,0.50376,0.87319,0.99296,0.9926,0.99472,0.90751,0.49817,0.50009,0.81633,0.000416,0.000416,0.000416
82,732.372,0.50667,0.50076,0.89674,0.99932,0.99296,0.995,0.91888,0.44084,0.4798,0.80424,0.0003962,0.0003962,0.0003962
83,740.84,0.69978,0.70178,1.15723,0.99931,0.99296,0.995,0.92547,0.40245,0.46487,0.79442,0.0003764,0.0003764,0.0003764
84,749.598,0.56813,0.52191,0.93287,0.99934,0.99296,0.995,0.92919,0.37806,0.46002,0.79098,0.0003566,0.0003566,0.0003566
85,758.516,0.45151,0.49336,0.85603,0.99934,0.99296,0.995,0.92919,0.37806,0.46002,0.79098,0.0003368,0.0003368,0.0003368
86,768.032,0.54407,0.51906,0.90861,0.99903,0.99296,0.995,0.92229,0.38278,0.46083,0.79337,0.000317,0.000317,0.000317
87,776.584,0.50623,0.50656,0.88099,0.99916,0.99296,0.995,0.92263,0.39577,0.46183,0.79492,0.0002972,0.0002972,0.0002972
88,786.497,0.56721,0.52397,0.92528,0.99933,0.99296,0.995,0.92584,0.39983,0.46067,0.79431,0.0002774,0.0002774,0.0002774
89,795.622,0.52707,0.50328,0.89809,0.99933,0.99296,0.995,0.92584,0.39983,0.46067,0.79431,0.0002576,0.0002576,0.0002576
90,804.21,0.51937,0.52379,0.87867,0.99946,0.99296,0.995,0.9331,0.38092,0.45059,0.79006,0.0002378,0.0002378,0.0002378
91,812.668,0.38263,0.56403,0.82104,0.9995,0.99296,0.995,0.94668,0.36799,0.44327,0.78889,0.000218,0.000218,0.000218
92,820.888,0.40058,0.63648,0.77886,0.99947,0.99296,0.995,0.92962,0.38253,0.44907,0.79071,0.0001982,0.0001982,0.0001982
93,829.267,0.42086,0.53667,0.82632,0.99947,0.99296,0.995,0.92962,0.38253,0.44907,0.79071,0.0001784,0.0001784,0.0001784
94,837.634,0.38523,0.52832,0.8012,0.99947,0.99296,0.995,0.92058,0.40838,0.46096,0.7939,0.0001586,0.0001586,0.0001586
95,846.271,0.40798,0.57332,0.82318,0.99946,0.99296,0.995,0.92145,0.41261,0.46988,0.7948,0.0001388,0.0001388,0.0001388
96,855.138,0.44576,0.50715,0.83925,0.99944,0.99296,0.995,0.93174,0.40459,0.47263,0.79422,0.000119,0.000119,0.000119
97,863.726,0.37862,0.50643,0.78785,0.99944,0.99296,0.995,0.93174,0.40459,0.47263,0.79422,9.92e-05,9.92e-05,9.92e-05
98,872.455,0.38277,0.47178,0.82968,0.99943,0.99296,0.995,0.94259,0.40177,0.46875,0.79424,7.94e-05,7.94e-05,7.94e-05
99,881.269,0.43716,0.58251,0.77652,0.99942,0.99296,0.995,0.94799,0.40272,0.46414,0.79423,5.96e-05,5.96e-05,5.96e-05
100,889.841,0.3884,0.47399,0.80857,0.99943,0.99296,0.995,0.94638,0.40209,0.46254,0.79369,3.98e-05,3.98e-05,3.98e-05
